Aug 14 21:46:05.007 INFO Logging to file                         path: "/data/FULLNODE/FULLNODE/lighthouse/beacon/logs/beacon.log"
Aug 14 21:48:36.986 INFO Started monitoring validator            validator: 1741291, pubkey: 0x865dcf81ab0a2cbb46d616defc18d84abffe5d11b022f86943d39ddcb1bdefe9e416b5358f89d3d05666262a61bf247c, service: val_mon, service: beacon
Aug 14 21:48:36.986 INFO Started monitoring validator            validator: 1794101, pubkey: 0xa31a7695faff77fd61074b76fb6a474226fece5a12109f347a602798905e2b7a77f8c9b2633ea5ea20a2fceef8d8324c, service: val_mon, service: beacon
Aug 14 21:48:36.986 INFO Started monitoring validator            validator: 1794234, pubkey: 0x984135869fe5b339eabec20313e353abf2e4488a0d18940ca0decc553a6badaea094ed8fef6c845150adebefbe904a9c, service: val_mon, service: beacon
Aug 14 21:48:36.986 INFO Started monitoring validator            validator: 1741286, pubkey: 0xaf43848b45c1f7a4b3acb2cedc0b9b3b0d9d87daaf45c3f7b58a1fac12dd3587206dff7902facd2f02dd5b50717e4417, service: val_mon, service: beacon
Aug 14 21:48:36.986 INFO Started monitoring validator            validator: 1794242, pubkey: 0x8d9aec3e17001c92c5389d2670ed18ed7e7b9a6c37f0564e336bd56bfa0137ef5e375d4f94a12b304dc073f51ee72cf2, service: val_mon, service: beacon
Aug 14 21:48:36.986 INFO Started monitoring validator            validator: 1794236, pubkey: 0x93b2395a39bc7b8406595961ff9aa95dfe62ea78bfda6a91a6452ce59099e7170ba3e65e2248d25f9f576e5a70ba46bf, service: val_mon, service: beacon
Aug 14 21:48:36.986 INFO Started monitoring validator            validator: 1794238, pubkey: 0xa74e831b3e41406deeb66cd154c7eff46eb5269be1475a13aeaadd9aac08351dd04696dc6c0f114cea2e2bd78327e2e7, service: val_mon, service: beacon
Aug 14 21:48:36.986 INFO Started monitoring validator            validator: 1794100, pubkey: 0xa81e8c10cb264867bf347a0d39d7cba86810127b9ae78ed72a860b976466763ea231300a549352fe34b7e460b960eaec, service: val_mon, service: beacon
Aug 14 21:48:36.986 INFO Started monitoring validator            validator: 1794232, pubkey: 0xa5722a90344611b794284df7d033587bfbd079394e71b3f7ea273766970ebbcd82d10cfd1590955c25b3cc2fd1e9e1dc, service: val_mon, service: beacon
Aug 14 21:48:36.986 INFO Started monitoring validator            validator: 1741292, pubkey: 0xa4017909398c91a5ce28667b63bf864b80ff33a63736dd78f7913a17e960d9635e96312659fad95856a82698489f689b, service: val_mon, service: beacon
Aug 14 21:48:36.986 INFO Started monitoring validator            validator: 1794102, pubkey: 0x84c53d0cd992fd671a8229cd9dc319238dadef5b76b4d00cc1c1d55b7fadab6a28bead90d8c2a77c4367dfe179037784, service: val_mon, service: beacon
Aug 14 21:48:36.986 INFO Started monitoring validator            validator: 1793958, pubkey: 0x89dbe8760fefed84e5b47689d8259d4f18baface4ed576ea5e3f23cf5c3fb3ff3e28b8271a7cde58abc771e95cc9eb40, service: val_mon, service: beacon
Aug 14 21:48:36.986 INFO Started monitoring validator            validator: 1794109, pubkey: 0xae49d0fe88cb89db01f0ed6fc492b0dfe1e1e25d592967c05c874d3ca1fa363d8e5ee2a008ba7e7b7badd6026d6582d8, service: val_mon, service: beacon
Aug 14 21:48:36.986 INFO Started monitoring validator            validator: 1794104, pubkey: 0x86afc7b363b5ad2fa61cdbf11ea3094f965c45c4cd009b0fc46dc82465bec665ec21be06e679eeb67d7f9f48b98cdfd2, service: val_mon, service: beacon
Aug 14 21:48:36.986 INFO Started monitoring validator            validator: 1741327, pubkey: 0xa18172f4f4ceb964f8a046cff51d79458b9e266a83c7fb4674c48fb082fc969817253af63bd1229a865eae2b87b7d9ab, service: val_mon, service: beacon
Aug 14 21:48:36.986 INFO Started monitoring validator            validator: 1793951, pubkey: 0x9350dbd125a815c515167d2ceeb8735f6eac2ac86bee615a57b7e1f266dc045edbcc7ffe272244227e77c452e7ea128e, service: val_mon, service: beacon
Aug 14 21:48:36.986 INFO Started monitoring validator            validator: 1793939, pubkey: 0x8f393f9fc37787b507f2c13bfec39d8e989a8049c737f385ed7a874d84e98512bf54175e334bd52643ff264672ea9ced, service: val_mon, service: beacon
Aug 14 21:48:36.986 INFO Started monitoring validator            validator: 1794237, pubkey: 0x84634e27e3dbbeb41e26e640e27874bc8055700a0728a9d52b82c3f7d16fb175bb3a1e7c3aa2f56985d255733a589eb8, service: val_mon, service: beacon
Aug 14 21:48:36.986 INFO Started monitoring validator            validator: 1794243, pubkey: 0xab19224b55c3f81be68a2c8283422cae1381efb499b7d03d30b835edcec9ea7a63a54fe278d023c9537cbcbc5502de4f, service: val_mon, service: beacon
Aug 14 21:48:36.986 INFO Started monitoring validator            validator: 1793954, pubkey: 0x9600c4e59e91ae1f2d361dbbe72e83b269b0a910b44903941644c24aa4700d1744184629f57e0dcf3c806cb64faea43f, service: val_mon, service: beacon
Aug 14 21:48:36.986 INFO Started monitoring validator            validator: 1741288, pubkey: 0xb55d0210bc7c1879fd8f4a16bdb70dbdb21de4f8c8fd271f1962f41a7d2e39325e648e81103242b4b2d215efc60045a9, service: val_mon, service: beacon
Aug 14 21:48:36.986 INFO Started monitoring validator            validator: 1794240, pubkey: 0xb69b79db88456279348a917e301a91ae250836db383c9a2c6645dfa588e690edf59fcf6ce88bf768bc517faa05b7f6d1, service: val_mon, service: beacon
Aug 14 21:48:36.986 INFO Started monitoring validator            validator: 1741331, pubkey: 0x851382ff311137877b6668f815fef7e9981b05f732288d32bf481cd52ba89640165cdf23642b452eb0c3e307b02e8922, service: val_mon, service: beacon
Aug 14 21:48:36.986 INFO Started monitoring validator            validator: 1794116, pubkey: 0xa14280fab64192ffd59a4735005ad34ccdb7e818a67975f31e1c2ab41886d72676c216ac7f3766e37211845e32a42de0, service: val_mon, service: beacon
Aug 14 21:48:36.986 INFO Started monitoring validator            validator: 1793955, pubkey: 0xb594aaa0afd072d54bf93e5dff813d2969510c0ac6cb35337982350d6a145d22f49a964299694b1341a9d9cf20ff9c5d, service: val_mon, service: beacon
Aug 14 21:48:36.986 INFO Started monitoring validator            validator: 1794105, pubkey: 0xb0990a08a30cd3457a2e92ce5ebf8f20b15a5c43678618452f1d7b0f6a7bbd2dfedf33627a43e5022cf8a4ac8782dc9f, service: val_mon, service: beacon
Aug 14 21:48:36.986 INFO Started monitoring validator            validator: 1793949, pubkey: 0xa20ed9b37cdb28e1152b9c98d8801739f91c3f44f74610ed6b3aa747467d4969af8b3dfff1483c4178eca980e4f5a3a7, service: val_mon, service: beacon
Aug 14 21:48:36.986 INFO Started monitoring validator            validator: 1793946, pubkey: 0xa3b9d75c10ddb8cdf039bcf771cc286585ad62bd683135c9a1b4ba9acd786ed52d08c8c152a491863450a529510d13b7, service: val_mon, service: beacon
Aug 14 21:48:36.986 INFO Started monitoring validator            validator: 1794239, pubkey: 0x8d3e0fa058455be8afe271a65680fb587b288b343bd4d397f23f43ed1df30fc301d0ba646f488a72ab2bceaa106c4ff5, service: val_mon, service: beacon
Aug 14 21:48:36.986 INFO Started monitoring validator            validator: 1793952, pubkey: 0xb7f9fda2903d0c844738cf47768849b97a82cfc68529285952df46b0f9148a352c989630b9f958a224d43e5893f1623e, service: val_mon, service: beacon
Aug 14 21:48:36.986 INFO Started monitoring validator            validator: 1794115, pubkey: 0x923f4c05620acccbcf6588fe82a4f8557ffefa87755fb4f4d9a1a4e634575a309e30f90f29c55f184f61bfc6fe143fd1, service: val_mon, service: beacon
Aug 14 21:48:36.986 INFO Started monitoring validator            validator: 1794114, pubkey: 0x8eca60bba0e7f366e7c5422ff6ed139b1b47ce2008181785f623a0a80685584490a4603f6939835c67d7d8e4242b1368, service: val_mon, service: beacon
Aug 14 21:48:36.986 INFO Started monitoring validator            validator: 1793941, pubkey: 0xa0c8f948a930a39a0a407c76db1c1cc3bdf4414d08d688628029f175e98eb5fe4c36f340c5b6edf5180b934d978a417a, service: val_mon, service: beacon
Aug 14 21:48:36.986 INFO Started monitoring validator            validator: 1741280, pubkey: 0x88140d761394dd0bb463483f6b50c3f90c7f950b40be3430de62948a5068ff56752f9f86574662fc43db469d30d2f93e, service: val_mon, service: beacon
Aug 14 21:48:36.986 INFO Started monitoring validator            validator: 1794231, pubkey: 0xabe7ebbfd6edb9e9274fb760ae0eaa441e039a3d10f904df6c611cca47c20becb911225e4eed22d23057598f3d542437, service: val_mon, service: beacon
Aug 14 21:48:36.986 INFO Started monitoring validator            validator: 1794235, pubkey: 0xb83a4288994eec67fa48f8e8516246c5a958979ebf00bb65a797f830d999c9a0f0005e3f963db34d6938e67f4343c762, service: val_mon, service: beacon
Aug 14 21:48:36.986 INFO Started monitoring validator            validator: 1741329, pubkey: 0x93f2d9c803c98bf2da69bbb9af2efd7519ba761f13fbdd366a0e8793c2ec5741106f02094ca66372d3dfa29634178efb, service: val_mon, service: beacon
Aug 14 21:48:36.986 INFO Started monitoring validator            validator: 1794250, pubkey: 0xb704e89c9729de747c0eb6c13f268444c51b9c0e6a8bfc49d109b695d6ee431f2b60189a5772f71e2d39630f96a1a716, service: val_mon, service: beacon
Aug 14 21:48:36.986 WARN Not enough time for a discovery search  subnet_id: ExactSubnet { subnet_id: SubnetId(62), slot: Slot(2314112) }, service: attestation_service
Aug 14 21:48:36.986 WARN Not enough time for a discovery search  subnet_id: ExactSubnet { subnet_id: SubnetId(6), slot: Slot(2314122) }, service: attestation_service
Aug 14 21:48:36.986 WARN Not enough time for a discovery search  subnet_id: ExactSubnet { subnet_id: SubnetId(20), slot: Slot(2314141) }, service: attestation_service
Aug 14 21:48:36.986 WARN Not enough time for a discovery search  subnet_id: ExactSubnet { subnet_id: SubnetId(34), slot: Slot(2314132) }, service: attestation_service
Aug 14 21:48:36.986 WARN Not enough time for a discovery search  subnet_id: ExactSubnet { subnet_id: SubnetId(61), slot: Slot(2314142) }, service: attestation_service
